SKU;Descricao SKU;PEP;Cod. ;Desc. BIOS;PLM
1302169;AT SERIES D (DAD), N7500E32017B00;SEMPEP;11184062;BIOS POS-RIH470EM V005 0103.8.X.D5.H5.P;RIH470EM_R104
1302175;AT SERIES D (DPF), N7500E1604FRB0;SEMPEP;11171317;Bios_H470EM_0102.1.X.PLS.P_INSS;RIH470EM_R104
1302202;AT SERIES F (CAD), N3200E1601FRB0;SEMPEP;11171334;BIOS POS-RIH470EM 0103.4.X.D5.G5.H2.P H3;RIH470EM_R104
1302203;AT SERIES D (DAD), N7500E32027BB0;SEMPEP;11212603;BIOS POS-RIH470EM V0103.9.X.H2.P;RIH470EM_R104
1302213;AT SERIES D (DAD), N8300C32047BBC;SEMPEP;11193442;BIOS RIH470EM_V0302.2.X.D5.H5.P_NSLock;RIH470EM_R105
1302246;POSITIVO MASTER D150 F4500ANAH55MC0;SEMPEP;11198583;BIOS POS-RIQ670EV 0102.2.X.P;RIQ670EV
1302267;POSITIVO MASTER D300 P2320ANEG31HC0;SEMPEP;11189805;BIOS ADPT2 V1.08.X PD;ADPT2
1302275;AT SERIES D (DAD) N7500E16027B00;SEMPEP;11193442;BIOS RIH470EM_V0302.2.X.D5.H5.P_NSLock;RIH470EM_R105
1302285;AT SERIES D (DPF), N8300E5008FRB0;SEMPEP;11193442;BIOS RIH470EM_V0302.2.X.D5.H5.P_NSLock;RIH470EM_R105
1302305;AT SERIES F (CAD) N3200E1601FR00;SEMPEP;11193442;BIOS RIH470EM_V0302.2.X.D5.H5.P_NSLock;RIH470EM_R105
1302306;POSITIVO MASTER D10 P2320ANAG31AC2;SEMPEP;11189896;BIOS N15LP6-V2 VJFE-ADL V1.07.X 55W;VJFE-ADLV2
1302360;POSITIVO MASTER D150 T4320ANAH55LD0;SEMPEP;11193469;BIOS POS-RIQ670EV_0101.3.X.P;RIQ670EV
1302383;AT SERIES D (DAD) N7500E1604FR00 F;SEMPEP;11189896;BIOS N15LP6-V2 VJFE-ADL V1.07.X 55W;VJFE-ADLV2
1302389;AT SERIES D (DAD) N7500E1604FRB0;SEMPEP;11189831;BIOS POSITIVO N14KP6-TG V1.04.X EC1.13 P;N14KP6-TG
1302394;POSITIVO MASTER D100 P3320ANAG31KB2;SEMPEP;11191478;BIOS POS-RAX300ES_0200.1.XD10.H3.P NSLOC;RAX300ES
1302415;AT SERIES F (CAB) N3200K1604VBB0;SEMPEP;11189896;BIOS N15LP6-V2 VJFE-ADL V1.07.X 55W;VJFE-ADLV2
1302425;POS-AT SERIES D (DAB) N7500E50047BB0;SEMPEP;11193482;BIOS RAX300ES_0300.1.XG5.H3.P_BNB;RAX300ES
1302450;POSITIVO MASTER D10 C2320NNAG31AC1;SEMPEP;11209590;BIOS JN1-116PC-HS V2.16X EC_V5.44;JN1-116PC-HS
1302470;POSITIVO MASTER D350 T2320ANEH55KB2;00.00.0000;11212171;BIOS POS-RAA520FC PLUS V0103.5.XD10.H1.P;RAA520FC
1302479;POSITIVO MASTER D10 Q4320NNEG31AC2;SEMPEP;11212483;BIOS POS-RIH610FE V002 V0102.7.XD22.H2.P;RIH610FE
1304039;POSITIVO MASTER T50 TC2500ANABTJACN0;SEMPEP;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1304102;POSITIVO MASTER D480 TRANSPETRO H4-00532;H4-00532;11107735;BIOS_POS-EIB85CZ_V5011603D-TRANSPETRO;EIB85CZ
1304278;POSITIVO MASTER D60 TELEFO H4-00526_3;H4-00526;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304288;POSITIVO MASTER D60 TELEFO H4-00526_2;H4-00526;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304289;POSITIVO MASTER D60 TELEFO H4-00526_1;H4-00526;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304367;POSITIVO MASTER D60 TIPO B KROTON;H4-00560;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304396;POSITIVO MASTER T50IAAREJO H3-01770;H3-01770;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1304458;POSITIVO MASTER T50 TC2500ANABTJACN0 MAO;SEMPEP;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1304459;DSK MASTER D60 INTERM I3 4GB TELEF;H4-00526;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304480;POSITIVO MASTER T50 TC4500ANABTJACN0;SEMPEP;11107736;BIOS POS-EIBTPDC V.140707I;EIBTPDC
1304487;DSK MASTER D60CEL 2GB TELEF;H4-00526;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304488;DSK MASTER D60 AVANÃ‡ADO I5 8GB TELEF;H4-00526;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304493;POSITIVO MASTER D480 TRANSPETRO MAO#;H4-00532;11107735;BIOS_POS-EIB85CZ_V5011603D-TRANSPETRO;EIB85CZ
1304501;MASTER D180 STEFANINI H4-00577 MAO;H4-00577;11107778;BIOS_POS-PIH81DI_V.0107bU;PIH81DI
1304662;POSITIVO MASTER D610 SF41T0ANEB150VCN;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304663;POSITIVO MASTER D610 SS81T0ANEB150VCN;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304670;POSITIVO MASTER C610 MINIPRO T4500NVCN;SEMPEP;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304671;POSITIVO MASTER C610 MINIPRO F4500NVCN;SEMPEP;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304672;POSITIVO MASTER D610 ST4500ANEB150VCN MA;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304677;POSITIVO MASTER C610 MINIPRO T4500NUCN;SEMPEP;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304736;POSITIVO MASTER C610 MINIPRO_AVANC_MAO;H4-00526;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304740;POSITIVO MASTER D60 TF8500ANAH81VBN0;SEMPEP;11107739;BIOS POS-PIH81DI V.0105L;PIH81DI
1304741;POSITIVO MASTER C600 MINIPRO T4500NVCN-1;SEMPEP;11115134;BIOS POS-PIB150DP V0320;PIB150DP
1304775;POSITIVO MASTER D610 ST4500ANEB150ACN-1;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304777;POSITIVO MASTER C100 H4-00611 DSK INTERM;H4-00611;11123595;BIOS POS-EIBWDQ 70221BDWU;EIBWDQ
1304779;POSITIVO MASTER C600 MINIPRO F8500NACN;SEMPEP;11107737;BIOS POS-PIB150DP V0321.I;PIB150DP
1304780;POSITIVO MASTER D810 SF81T0ANEQ170TCN;SEMPEP;11128133;BIOS POS-PIQ170DU R3 V.0460.X DVI;PIQ170DU
1304785;POSITIVO MASTER D610 SF41T0ANEB150ACN-1;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304786;POSITIVO MASTER D610 ST4500ANEB150VCN-1;SEMPEP;11128154;BIOS POS-PIB150DT R3 V.0417.X DVI SL;PIB150DT
1304787;POSITIVO MASTER D610 SF41T0ANEB150VCN-1;SEMPEP;11128154;BIOS POS-PIB150DT R3 V.0417.X DVI SL;PIB150DT
1304788;POSITIVO MASTER D610 SS81T0ANEB150VCN-1;SEMPEP;11128154;BIOS POS-PIB150DT R3 V.0417.X DVI SL;PIB150DT
1304789;POSITIVO MASTER D810 SF41T0ANEQ170ACN-1;SEMPEP;11123586;BIOS POS-PIQ170DU R3 V.0412.I DVI GUI;PIQ170DU
1304790;POSITIVO MASTER D810 SF41T0ANEQ170VCN-1;SEMPEP;11128133;BIOS POS-PIQ170DU R3 V.0460.X DVI;PIQ170DU
1304792;POSITIVO MASTER C600 MINIPRO F8500NVCN;SEMPEP;11115134;BIOS POS-PIB150DP V0320;PIB150DP
1304793;POSITIVO MASTER C100 H4-0611 DSK AVAN;H4-00611;11123595;BIOS POS-EIBWDQ 70221BDWU;EIBWDQ
1304794;POSITIVO MASTER C100 H4-0611 DSK AVAN PL;H4-00611;11123595;BIOS POS-EIBWDQ 70221BDWU;EIBWDQ
1304808;POSITIVO MASTER D610 SF81T0ANEB150ACN;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304815;POSITIVO MASTER D610 SENAI PE IT01;H3-01970;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1304825;POSITIVO MASTER D610 ST8500ANEB150ACN;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1304827;POSITIVO MASTER C610 MINIPRO - BMTECHCEL;H4-00614;11130177;BIOS POS-PIB150DR V0280X;PIB150DR
1304828;POSITIVO MASTER C610 MINIPRO - BMTECHMMC;H4-00614;11130177;BIOS POS-PIB150DR V0280X;PIB150DR
1304856;POSITIVO MASTER C610 MINIPRO - BMTECHI3;H4-00614;11130177;BIOS POS-PIB150DR V0280X;PIB150DR
1304885;POSITIVO MASTER C610 MINIPRO P4500NVCN;SEMPEP;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304895;POSITIVO MASTER D60 TT4500ANAH810CN0;SEMPEP;11115088;BIOS POS-PIH81DL V0106L;PIH81DL
1304936;POSITIVO MASTER C610 H4-0631 DASA;H4-00631;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304965;POSITIVO MASTER D610 TF4500ANEB1500CN0;SEMPEP;11128138;BIOS POS-PIB150DT R3 V.0417.L DVI SL;PIB150DT
1304966;POSITIVO MASTER D610 SF81T0ANEB150VCN;SEMPEP;11128154;BIOS POS-PIB150DT R3 V.0417.X DVI SL;PIB150DT
1304967;POSITIVO MASTER C610 MINIPRO F8256NVCN;SEMPEP;11113658;BIOS POS-PIB150DR 2.08.X;PIB150DR
1304975;POSITIVO MASTER D610 SF81T0ANEB150ACN-1;SEMPEP;11123579;BIOS POS-PIB150DT R3 V.0412.I DVI GUI SL;PIB150DT
1305001;POSITIVO MASTER C610 H4-0659 IBM;H4-00659;11132271;BIOS POS-PIB150DR V0288X;PIB150DR
1305002;POSITIVO MASTER C610 MINIPRO SANTAN_MAO;H4-00620;11130205;BIOS POS-PIB150DR V.0288.L KL SANTANDER;PIB150DR
1305003;POSITIVO MASTER D610 SF81T0ANGB150VCN0;SEMPEP;11128154;BIOS POS-PIB150DT R3 V.0417.X DVI SL;PIB150DT
1305006;POSITIVO MASTER C600 MINIPRO T4500NACN;SEMPEP;11107737;BIOS POS-PIB150DP V0321.I;PIB150DP
1305009;POSITIVO MASTER C610 MINIPRO T4500NVCN-2;SEMPEP;11130951;BIOS POS-PIB150DR V.0289.X KL;PIB150DR
